xy
"1:113.383874,22.969690==>113.377385114027,22.963558712658"
"83:113.803874,23.149690==>113.797362578397,23.143821354779"
"84:113.503874,22.729690==>113.497384834787,22.723558614799"
"85:113.563874,23.149690==>113.55736257735,23.143821090126"
"86:113.563874,23.209690==>113.557333238433,23.203814605634"
"87:113.083874,23.389690==>113.077362299289,23.383820586159"
"88:113.443874,23.389690==>113.437362300916,23.383820982976"
"89:113.803874,23.269690==>113.797362440466,23.263821367318"
"90:113.443874,22.789690==>113.437362990618,22.783820919987"
"91:113.923874,23.809690==>113.917332580214,23.803814933994"
"92:113.563874,23.269690==>113.557362439407,23.263821102698"
"93:113.743874,23.569690==>113.737385808491,23.56355822761"
"94:113.323874,22.909690==>113.317362852179,22.90382080026"
"95:113.863874,23.389690==>113.857415414032,23.383563733537"
"96:113.563874,22.909690==>113.55736285321,22.903821064954"
"97:113.383874,23.389690==>113.377415411098,23.383564291069"
"98:113.143874,23.449690==>113.137385672813,23.443558908327"
"99:113.083874,23.329690==>113.077333109222,23.323814036824"
"100:113.383874,23.329690==>113.37738553198,23.323558660401"
"101:113.743874,23.629690==>113.73741568058,23.623563898523"
"102:113.023874,23.389690==>113.017415408877,23.383564709282"
"103:113.803874,23.749690==>113.797361888654,23.74382141738"
"104:113.503874,23.269690==>113.497415278193,23.263564138824"
"105:113.263874,23.389690==>113.257415410359,23.383564430467"
"107:113.623874,23.449690==>113.617385669867,23.443558377651"
"106:113.383874,23.569690==>113.377385810711,23.56355862561"
"108:113.563874,23.509690==>113.557362163494,23.503821127813"
"109:113.323874,23.029690==>113.317362714242,23.023820812884"
"110:113.263874,23.509690==>113.257415543979,23.503564443343"
"111:113.083874,23.269690==>113.077362437266,23.263820573532"
"112:113.683874,23.749690==>113.677361888101,23.743821285132"
"113:113.263874,23.209690==>113.257385393369,23.2035588105"
"114:113.623874,22.789690==>113.617414744238,22.783563948018"
"115:113.623874,23.629690==>113.617415679835,23.623564037936"
"116:113.383874,23.209690==>113.377385392643,23.203558677811"
"117:113.383874,23.089690==>113.377385253326,23.08355869523"
"118:113.383874,23.029690==>113.377415010164,23.023564252434"
"119:113.623874,23.149690==>113.617415145264,23.143563986609"
"120:113.443874,23.449690==>113.43733297629,23.443814433486"
"121:113.683874,23.629690==>113.677362026073,23.623821272615"
"122:113.743874,23.749690==>113.737415814206,23.743563911316"
"123:113.443874,22.969690==>113.437333501701,22.963814502014"
"124:113.503874,23.389690==>113.497415411834,23.383564151677"
"125:113.983874,23.809690==>113.977386085766,23.803557927605"
"126:113.983874,23.389690==>113.97741541476,23.38356359417"
"127:113.503874,22.969690==>113.497385113316,22.963558579939"
"128:113.383874,23.629690==>113.37741567834,23.623564316779"
"129:113.983874,23.929690==>113.977386225166,23.923557910299"
"130:113.683874,23.269690==>113.677362439938,23.263821235005"
"131:113.803874,23.389690==>113.797362302526,23.383821379848"
"132:113.683874,22.729690==>113.677333763517,22.723814812041"
"133:113.323874,23.389690==>113.317362300376,23.383820850698"
"134:113.623874,23.269690==>113.617415278921,23.263563999454"
"135:113.563874,23.689690==>113.557332713146,23.683814537228"
"136:113.623874,22.609690==>113.617384694861,22.603558499483"
"137:113.503874,23.689690==>113.497385949357,23.683558475579"
"138:113.683874,23.449690==>113.677332975217,23.443814709332"
"139:113.443874,23.629690==>113.437362024974,23.623821008104"
"140:113.503874,23.149690==>113.497415144542,23.143564125962"
"141:113.863874,23.869690==>113.857415948578,23.86356378466"
"142:113.143874,23.509690==>113.137415543232,23.503564582763"
"143:113.503874,23.569690==>113.497385809969,23.563558492949"
"144:113.923874,23.869690==>113.917361751236,23.86382156211"
"145:113.503874,22.789690==>113.497414743534,22.783564087322"
"146:113.863874,23.689690==>113.857385947124,23.683558077594"
"147:113.443874,23.149690==>113.437362576824,23.143820957809"
"148:113.743874,23.809690==>113.73738608726,23.803558192924"
"149:113.443874,23.029690==>113.437362714764,23.023820945211"
"150:113.623874,22.669690==>113.617414610544,22.663563935136"
"151:113.563874,23.629690==>113.557362025524,23.623821140357"
